Node,Group_abrev,Group_name,Model_name,TL,Value
1,Phyto,Phytoplankton,RAB,I,3637
1,Phyto,Phytoplankton,RAB,II,0
1,Phyto,Phytoplankton,RAB,III,0
1,Phyto,Phytoplankton,RAB,IV,0
1,Phyto,Phytoplankton,RAB,V,0
1,Phyto,Phytoplankton,RAB,VI,0
1,Phyto,Phytoplankton,RAB,VII,0
1,Phyto,Phytoplankton,RAB,VIII,0
1,Phyto,Phytoplankton,RAB,IX,0
1,Phyto,Phytoplankton,RAB,X,0
1,Phyto,Phytoplankton,RAB,XI,0
1,Phyto,Phytoplankton,CAB,I,3637
1,Phyto,Phytoplankton,CAB,II,0
1,Phyto,Phytoplankton,CAB,III,0
1,Phyto,Phytoplankton,CAB,IV,0
1,Phyto,Phytoplankton,CAB,V,0
1,Phyto,Phytoplankton,CAB,VI,0
1,Phyto,Phytoplankton,CAB,VII,0
1,Phyto,Phytoplankton,CAB,VIII,0
1,Phyto,Phytoplankton,CAB,IX,0
1,Phyto,Phytoplankton,CAB,X,0
1,Phyto,Phytoplankton,CAB,XI,0
2,Bact,Bacteria,RAB,I,0
2,Bact,Bacteria,RAB,II,698.4
2,Bact,Bacteria,RAB,III,0
2,Bact,Bacteria,RAB,IV,0
2,Bact,Bacteria,RAB,V,0
2,Bact,Bacteria,RAB,VI,0
2,Bact,Bacteria,RAB,VII,0
2,Bact,Bacteria,RAB,VIII,0
2,Bact,Bacteria,RAB,IX,0
2,Bact,Bacteria,RAB,X,0
2,Bact,Bacteria,RAB,XI,0
2,Bact,Bacteria,CAB,I,0
2,Bact,Bacteria,CAB,II,698.4
2,Bact,Bacteria,CAB,III,0
2,Bact,Bacteria,CAB,IV,0
2,Bact,Bacteria,CAB,V,0
2,Bact,Bacteria,CAB,VI,0
2,Bact,Bacteria,CAB,VII,0
2,Bact,Bacteria,CAB,VIII,0
2,Bact,Bacteria,CAB,IX,0
2,Bact,Bacteria,CAB,X,0
2,Bact,Bacteria,CAB,XI,0
3,Microzoo,Microzooplankton,RAB,I,0
3,Microzoo,Microzooplankton,RAB,II,599
3,Microzoo,Microzooplankton,RAB,III,167.3
3,Microzoo,Microzooplankton,RAB,IV,0
3,Microzoo,Microzooplankton,RAB,V,0
3,Microzoo,Microzooplankton,RAB,VI,0
3,Microzoo,Microzooplankton,RAB,VII,0
3,Microzoo,Microzooplankton,RAB,VIII,0
3,Microzoo,Microzooplankton,RAB,IX,0
3,Microzoo,Microzooplankton,RAB,X,0
3,Microzoo,Microzooplankton,RAB,XI,0
3,Microzoo,Microzooplankton,CAB,I,0
3,Microzoo,Microzooplankton,CAB,II,599
3,Microzoo,Microzooplankton,CAB,III,167.3
3,Microzoo,Microzooplankton,CAB,IV,0
3,Microzoo,Microzooplankton,CAB,V,0
3,Microzoo,Microzooplankton,CAB,VI,0
3,Microzoo,Microzooplankton,CAB,VII,0
3,Microzoo,Microzooplankton,CAB,VIII,0
3,Microzoo,Microzooplankton,CAB,IX,0
3,Microzoo,Microzooplankton,CAB,X,0
3,Microzoo,Microzooplankton,CAB,XI,0
4,Cop-S,Small Copepods,RAB,I,0
4,Cop-S,Small Copepods,RAB,II,913.1
4,Cop-S,Small Copepods,RAB,III,66.07
4,Cop-S,Small Copepods,RAB,IV,18.46
4,Cop-S,Small Copepods,RAB,V,0
4,Cop-S,Small Copepods,RAB,VI,0
4,Cop-S,Small Copepods,RAB,VII,0
4,Cop-S,Small Copepods,RAB,VIII,0
4,Cop-S,Small Copepods,RAB,IX,0
4,Cop-S,Small Copepods,RAB,X,0
4,Cop-S,Small Copepods,RAB,XI,0
4,Cop-S,Small Copepods,CAB,I,0
4,Cop-S,Small Copepods,CAB,II,913.1
4,Cop-S,Small Copepods,CAB,III,66.07
4,Cop-S,Small Copepods,CAB,IV,18.46
4,Cop-S,Small Copepods,CAB,V,0
4,Cop-S,Small Copepods,CAB,VI,0
4,Cop-S,Small Copepods,CAB,VII,0
4,Cop-S,Small Copepods,CAB,VIII,0
4,Cop-S,Small Copepods,CAB,IX,0
4,Cop-S,Small Copepods,CAB,X,0
4,Cop-S,Small Copepods,CAB,XI,0
5,Cop-L,Large Copepods,RAB,I,0
5,Cop-L,Large Copepods,RAB,II,699.5
5,Cop-L,Large Copepods,RAB,III,121.3
5,Cop-L,Large Copepods,RAB,IV,12.93
5,Cop-L,Large Copepods,RAB,V,2.047
5,Cop-L,Large Copepods,RAB,VI,0
5,Cop-L,Large Copepods,RAB,VII,0
5,Cop-L,Large Copepods,RAB,VIII,0
5,Cop-L,Large Copepods,RAB,IX,0
5,Cop-L,Large Copepods,RAB,X,0
5,Cop-L,Large Copepods,RAB,XI,0
5,Cop-L,Large Copepods,CAB,I,0
5,Cop-L,Large Copepods,CAB,II,699.5
5,Cop-L,Large Copepods,CAB,III,121.3
5,Cop-L,Large Copepods,CAB,IV,12.93
5,Cop-L,Large Copepods,CAB,V,2.047
5,Cop-L,Large Copepods,CAB,VI,0
5,Cop-L,Large Copepods,CAB,VII,0
5,Cop-L,Large Copepods,CAB,VIII,0
5,Cop-L,Large Copepods,CAB,IX,0
5,Cop-L,Large Copepods,CAB,X,0
5,Cop-L,Large Copepods,CAB,XI,0
6,GelZoop,Gelatinous Zooplankton,RAB,I,0
6,GelZoop,Gelatinous Zooplankton,RAB,II,35.32
